"Issue Type","Summary","Description","Priority","Sprint","Epic Link","Labels","Original Estimate","Assignee"
"Task","TASK-01 Esquema de base de datos y migraciones Alembic","Como desarrollador, quiero el esquema relacional de las siete entidades versionado en Alembic, para que el resto del backend tenga sobre que construir.

Criterios de aceptacion (Gherkin):
- Dado el repositorio limpio, cuando ejecuto 'alembic upgrade head', entonces se crean las siete entidades de la seccion 8.1 del SRS sin error
- Dado el esquema aplicado, cuando inspecciono pedidos_transito, entonces existen los campos de la seccion 8.2 con sus tipos
- Dado el esquema aplicado, cuando ejecuto 'alembic downgrade base', entonces la base queda vacia sin error

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: SRS 8.1-8.5
MoSCoW: Must","Highest","Sprint 3","OE4-Persistencia","backend,persistencia,fundacional","10h","mamayorga"
"Task","TASK-02 Habilitar PostGIS y columna geometrica WGS 84","Como desarrollador, quiero PostGIS habilitado y la posicion almacenada como geometry(Point,4326), para poder calcular distancias con operadores nativos.

Criterios de aceptacion (Gherkin):
- Dado PostgreSQL 16, cuando ejecuto la migracion, entonces la extension postgis queda instalada
- Dado elementos_rastreados, cuando consulto posicion_actual, entonces su tipo es geometry(Point,4326)
- Dadas dos posiciones conocidas, cuando aplico ST_Distance sobre geography, entonces la distancia en metros coincide con el valor esperado con margen del 1%

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: SRS 8.6 / RNF-20
MoSCoW: Must","Highest","Sprint 3","OE4-Persistencia","backend,persistencia,postgis","4h","mamayorga"
"Task","TASK-03 Adaptador de ingesta de pedidos con datos semilla","Como desarrollador, quiero una interfaz de ingesta con una implementacion de datos semilla, para desarrollar y demostrar el sistema sin depender del servicio de SAP.

Criterios de aceptacion (Gherkin):
- Dado que no existe el servicio de SAP, cuando arranco el sistema con el perfil de desarrollo, entonces se cargan pedidos semilla que cubren via maritima, via aerea y un caso sin identificador de rastreo
- Dada la interfaz de ingesta, cuando se implemente el adaptador de SAP, entonces no requiere cambios en el motor de calculo ni en la API REST
- Dado el perfil de produccion, cuando no hay adaptador configurado, entonces el sistema arranca y lo reporta en el healthcheck

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: Habilitador de RF-01
MoSCoW: Must","Highest","Sprint 3","OE2-Backend","backend,ingesta,riesgo-sap","8h","mamayorga"
"Story","US-01 Asociar un identificador de rastreo externo a un pedido","Como usuario de Logistica, quiero asociar a cada pedido su identificador de rastreo, para que el sistema pueda seguirlo automaticamente.

Criterios de aceptacion (Gherkin):
- Dado un pedido sin identificador, cuando registro un MMSI valido de nueve digitos, entonces el pedido queda habilitado para rastreo automatico
- Dado un pedido sin identificador, cuando consulto su estado, entonces es 'Sin tracking' conforme a RN-02
- Dado un tipo de identificador no soportado por ninguna API, cuando lo registro, entonces el sistema lo acepta y advierte que el pedido no sera rastreable automaticamente

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-03
MoSCoW: Must","Highest","Sprint 3","OE2-Backend","backend,tracking","6h","mamayorga"
"Story","US-02 Consumir posiciones AIS desde AISStream por WebSocket","Como sistema, quiero mantener una suscripcion WebSocket a AISStream, para recibir las posiciones de los buques asociados a pedidos activos.

Criterios de aceptacion (Gherkin):
- Dada una clave de API valida, cuando abro la conexion y envio la suscripcion, entonces recibo mensajes PositionReport y los persisto
- Dado un mensaje ShipStaticData, cuando lo proceso, entonces persisto IMO, nombre y destino por separado de la posicion
- Dada una conexion establecida, cuando el socket se cae, entonces reconecto con backoff exponencial de 1s con techo de 60s
- Dado el cierre de la conexion, cuando termino la suscripcion, entonces aborto el transporte sin esperar el close negociado

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-06
MoSCoW: Must","Highest","Sprint 3","OE2-Backend","backend,aisstream,riesgo-externo","16h","mamayorga"
"Story","US-03 Tolerar la caida de una API externa sin degradar el dashboard","Como sistema, quiero una politica de reintentos y un watchdog de conexion, para que la indisponibilidad de una fuente externa no afecte la consulta del usuario.

Criterios de aceptacion (Gherkin):
- Dada una API que no responde, cuando falla la consulta, entonces registro el error y conservo la ultima posicion valida con su antiguedad
- Dada una suscripcion AIS a una zona sin trafico, cuando pasan minutos sin mensajes, entonces el watchdog NO reconecta, porque se apoya en el ping/pong del protocolo y no en la ausencia de datos
- Dado un cierre inmediato tras conectar, cuando ocurre, entonces lo clasifico como problema de credencial y no reintento en bucle cerrado
- Dada una API caida, cuando consulto el dashboard, entonces responde con los ultimos datos conocidos

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-09 / RNF-12
MoSCoW: Must","Highest","Sprint 3","OE2-Backend","backend,resiliencia","8h","mamayorga"
"Story","US-04 Registrar el historial de posiciones con el payload original","Como usuario de Logistica, quiero que cada lectura de API quede registrada con su respuesta completa, para poder auditar y reconstruir el trayecto.

Criterios de aceptacion (Gherkin):
- Dada una lectura valida, cuando la proceso, entonces inserto un registro en historial_tracking con fecha, coordenadas, velocidad, rumbo, estado crudo y payload en JSONB
- Dado un registro del historial, cuando intento modificarlo, entonces la operacion se rechaza por ser inmutable
- Dado un volumen alto de mensajes, cuando aplico el submuestreo configurado, entonces persisto como maximo una posicion por elemento rastreado por intervalo

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-21 / RNF-13
MoSCoW: Must","Highest","Sprint 3","OE4-Persistencia","backend,persistencia,auditoria","8h","mamayorga"
"Story","US-05 Consumir posiciones ADS-B desde OpenSky con OAuth2","Como sistema, quiero autenticarme con OAuth2 y consultar OpenSky, para obtener la posicion de las aeronaves de los pedidos aereos.

Criterios de aceptacion (Gherkin):
- Dadas credenciales validas, cuando solicito el token, entonces lo obtengo y lo renuevo proactivamente al 80% de su TTL de 1800 s
- Dado un bounding box, cuando consulto /states/all, entonces extraigo latitud, longitud, altitud, velocidad y rumbo de cada aeronave
- Dada una respuesta sin aeronaves, cuando la deserializo, entonces normalizo 'states: null' a lista vacia sin lanzar excepcion
- Dada cualquier respuesta, cuando la recibo, entonces registro el valor de x-rate-limit-remaining

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-07
MoSCoW: Must","Highest","Sprint 4","OE2-Backend","backend,opensky","10h","mamayorga"
"Story","US-06 Resolver el icao24 de un vuelo como vinculo temporal del tramo","Como sistema, quiero resolver el icao24 a partir del callsign y la fecha en cada tramo, para no seguir una aeronave que ya vuela hacia otro destino con otra carga.

Criterios de aceptacion (Gherkin):
- Dado un pedido aereo, cuando resuelvo su aeronave, entonces guardo el icao24 asociado al tramo y no como atributo fijo del pedido
- Dada una aeronave que cambio de vuelo, cuando finaliza el tramo, entonces el vinculo queda cerrado y no se sigue consultando
- Dado un callsign nulo en la lectura, cuando lo proceso, entonces uso el icao24 como identificador estable y reintento el callsign en la siguiente lectura

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-07 / spike TG-11
MoSCoW: Must","Highest","Sprint 4","OE2-Backend","backend,opensky","8h","mamayorga"
"Story","US-07 Planificar las consultas periodicas con frecuencia parametrizable","Como administrador, quiero configurar la frecuencia de consulta por via de transporte, para ajustar el consumo de cuota sin tocar el codigo.

Criterios de aceptacion (Gherkin):
- Dado el parametro de frecuencia aerea, cuando lo modifico, entonces el planificador aplica el nuevo intervalo sin reiniciar el servicio
- Dado el rastreo aereo por ventana activa, cuando estoy dentro de la ventana, entonces consulto al intervalo configurado y fuera de ella suspendo el sondeo
- Dado el rastreo maritimo, cuando lo configuro, entonces se gestiona como suscripcion persistente y no como sondeo periodico
- Dada la cuota diaria, cuando el consumo proyectado la excederia, entonces el planificador lo advierte en el log

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-08 (reformulado)
MoSCoW: Must","Highest","Sprint 4","OE2-Backend","backend,scheduler","8h","mamayorga"
