categoria,oc_numero,posicion,centro,proveedor_id,proveedor_nombre,material,material_texto,solicitud_pedido,solicitud_posicion,fecha_solped,fecha_entrega_solped,fecha_pedido,cantidad_reparto,ump,ctd_entregada,fecha_entrega,ctd_pendiente,fecha_estadistica,comprador,grupo_compra,estatus,diferencia_dias,concatenar,fecha_llegada_gutis,fecha_lead_time_sap,fabricante,po_forwarder,incoterm,tipo_pago,zca_coa_sap,status_coa,cantidad_lotes,entrega_entrante,tipo_proveedor,temperatura,pais_origen,tipo_transporte,eta_cr,arribo_cr,recibo
PRODUCCION,4500016171,90,CR10,PROV-0001,Proveedor 0001,11000371,Colágeno hidrolizado bovino,1000028501,10,2026-02-18,2026-05-29,2026-03-13,6000000,G,0,2026-07-24,6000000,2026-05-29,comprador-0001,A00,Atrasado,-35,450001617190,2026-07-24,2026-02-18,Fabricante 0001,N/A,CIF LIMON,CREDITO,,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,BRASIL,MARITIMO,2026-08-11,PENDIENTE,688720
PRODUCCION,4500016171,130,CR10,PROV-0001,Proveedor 0001,11000371,Colágeno hidrolizado bovino,1000028501,10,2026-02-18,2026-05-29,2026-03-13,600000,G,0,2026-07-24,600000,2026-07-24,comprador-0001,A00,Atrasado,-35,4500016171130,2026-07-24,2026-02-18,Fabricante 0001,N/A,CIF LIMON,CREDITO,,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,BRASIL,MARITIMO,2026-08-18,PENDIENTE,688968
PRODUCCION,4500016171,120,CR10,PROV-0001,Proveedor 0001,11000371,Colágeno hidrolizado bovino,1000028501,10,2026-02-18,2026-05-29,2026-03-13,5400000,G,0,2026-07-24,5400000,2026-07-24,comprador-0001,A00,Atrasado,-35,4500016171120,2026-07-24,2026-02-18,Fabricante 0001,N/A,CIF LIMON,CREDITO,,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,BRASIL,MARITIMO,2026-08-18,PENDIENTE,688968
PRODUCCION,4500016171,80,CR10,PROV-0001,Proveedor 0001,11000371,Colágeno hidrolizado bovino,1000028501,10,2026-02-18,2026-05-29,2026-03-13,300000,G,0,2026-07-24,300000,2026-05-29,comprador-0001,A00,Atrasado,-35,450001617180,2026-07-24,2026-02-18,Fabricante 0001,N/A,CIF LIMON,CREDITO,,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,BRASIL,MARITIMO,2026-07-14,SI,686804
PRODUCCION,4500016171,70,CR10,PROV-0001,Proveedor 0001,11000371,Colágeno hidrolizado bovino,1000028501,10,2026-02-18,2026-05-29,2026-03-13,5700000,G,0,2026-07-24,5700000,2026-05-29,comprador-0001,A00,Atrasado,-35,450001617170,2026-07-24,2026-02-18,Fabricante 0001,N/A,CIF LIMON,CREDITO,,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,BRASIL,MARITIMO,2026-07-14,SI,686804
PRODUCCION,4500016171,20,CR10,PROV-0001,Proveedor 0001,11000371,Colágeno hidrolizado bovino,1000028501,10,2026-02-18,2026-05-29,2026-03-13,3300000,G,0,2026-07-24,3300000,2026-05-29,comprador-0001,A00,Atrasado,-35,450001617120,2026-07-24,2026-02-18,Fabricante 0001,N/A,CIF LIMON,CREDITO,N/A,SI,PENDIENTE,180015889,INTERNACIONAL,Ambiente,BRASIL,MARITIMO,2026-07-17,SI,684582
PRODUCCION,4500016171,10,CR10,PROV-0001,Proveedor 0001,11000371,Colágeno hidrolizado bovino,1000028501,10,2026-02-18,2026-05-29,2026-03-13,2700000,G,0,2026-07-24,2700000,2026-05-29,comprador-0001,A00,Atrasado,-35,450001617110,2026-07-24,2026-02-18,Fabricante 0001,N/A,CIF LIMON,CREDITO,N/A,SI,PENDIENTE,180015889,INTERNACIONAL,Ambiente,BRASIL,MARITIMO,2026-07-17,SI,684582
PRODUCCION,4500016171,100,CR10,PROV-0001,Proveedor 0001,11000371,Colágeno hidrolizado bovino,1000028501,10,2026-02-18,2026-05-29,2026-03-13,4800000,G,0,2026-07-24,4800000,2026-05-29,comprador-0001,A00,Atrasado,-35,4500016171100,2026-07-24,2026-02-18,Fabricante 0001,N/A,CIF LIMON,CREDITO,,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,BRASIL,MARITIMO,11/18/2026,PENDIENTE,688714
PRODUCCION,4500016171,110,CR10,PROV-0001,Proveedor 0001,11000371,Colágeno hidrolizado bovino,1000028501,10,2026-02-18,2026-05-29,2026-03-13,1200000,G,0,2026-07-24,1200000,2026-05-29,comprador-0001,A00,Atrasado,-35,4500016171110,2026-07-24,2026-02-18,Fabricante 0001,N/A,CIF LIMON,CREDITO,,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,BRASIL,MARITIMO,2026-08-11,PENDIENTE,688714
PRODUCCION,4500017035,10,CR10,PROV-0002,Proveedor 0002,11000289,Bupropiona clorhidrato,1000031291,10,2026-04-16,2026-08-12,2026-05-05,175000,G,0,2026-07-25,175000,2026-05-29,comprador-0001,A00,Atrasado,-34,450001703510,2026-07-25,2026-07-25,Fabricante 0002,116,EXW,CREDITO,ZCP370000018529,SI,1900-01-01 00:00:00,180016295,INTERNACIONAL,Ambiente,CHINA,MARITIMO,2026-08-17,SI,683501
